iteration,problem instance,problem seed,algorithm seed,starting fitness,ensemble number,fitness,number of runs,heuristics
22,4,1022,1022,0.04926609686609862,0,0.040568137254902825,10,"[211, 82, 302, 152, 235]"
23,4,1023,1023,0.05008302808302956,0,0.02647720164609091,33,"[211, 82, 302, 152, 235]"
24,4,1024,1024,0.050165404965406224,0,0.02163552251135914,44,"[211, 82, 302, 152, 235]"
25,4,1025,1025,0.043570751633988936,0,0.026446584362140535,26,"[211, 82, 302, 152, 235]"
26,4,1026,1026,0.049788359788361713,0,0.027672592592592915,25,"[211, 82, 302, 152, 235]"
27,4,1027,1027,0.04759088319088489,0,0.034789175891759894,13,"[211, 82, 302, 152, 235]"
28,4,1028,1028,0.04763451363451521,0,0.03475342353423594,10,"[211, 82, 302, 152, 235]"
29,4,1029,1029,0.04906389906390052,0,0.02767818930041177,30,"[211, 82, 302, 152, 235]"
30,4,1030,1030,0.05001009361009501,0,0.041033496732027164,12,"[211, 82, 302, 152, 235]"
31,4,1031,1031,0.0492621896621912,0,0.028801810699589092,25,"[211, 82, 302, 152, 235]"
32,4,1032,1032,0.050026699226700555,0,0.0405848039215696,11,"[211, 82, 302, 152, 235]"
33,4,1033,1033,0.04330898692810625,0,0.041396568627452224,7,"[211, 82, 302, 152, 235]"
34,4,1034,1034,0.04335800653594912,0,0.0413723856209155,4,"[211, 82, 302, 152, 235]"
35,4,1035,1035,0.04354460784313874,0,0.04180473856209299,5,"[211, 82, 302, 152, 235]"
36,4,1036,1036,0.04910329670329827,0,0.04139428104575271,8,"[211, 82, 302, 152, 235]"
37,4,1037,1037,0.047591859991860885,0,0.03610217302173069,13,"[211, 82, 302, 152, 235]"
38,4,1038,1038,0.04303251633987015,0,0.03563116031160307,9,"[211, 82, 302, 152, 235]"
39,4,1039,1039,0.04825673585673795,0,0.028007407407408258,21,"[211, 82, 302, 152, 235]"
40,4,1040,1040,0.04980626780626929,0,0.03478097580975814,19,"[211, 82, 302, 152, 235]"
41,4,1041,1041,0.0493947089947101,0,0.041460947712419705,10,"[211, 82, 302, 152, 235]"
42,4,1042,1042,0.043592647058825484,0,0.026891687242799334,24,"[211, 82, 302, 152, 235]"
43,4,1043,1043,0.048028164428166265,0,0.02854041152263498,19,"[211, 82, 302, 152, 235]"
44,4,1044,1044,0.049195767195768236,0,0.03508306683066831,11,"[211, 82, 302, 152, 235]"
45,4,1045,1045,0.04352957516340017,0,0.02901514403292238,22,"[211, 82, 302, 152, 235]"
46,4,1046,1046,0.04833585673585794,0,0.019257331681123424,36,"[211, 82, 302, 152, 235]"
47,4,1047,1047,0.047953276353278174,0,0.02853876543209899,20,"[211, 82, 302, 152, 235]"
48,4,1048,1048,0.04942498982499133,0,0.04798355718355907,2,"[211, 82, 302, 152, 235]"
49,4,1049,1049,0.049012779812781404,0,0.03358901189011898,22,"[211, 82, 302, 152, 235]"
0,5,1000,1000,0.04689761616161747,0,0.04571458585858734,5,"[211, 82, 302, 152, 235]"
1,5,1001,1001,0.04578731313131523,0,0.03228701668701672,13,"[211, 82, 302, 152, 235]"
2,5,1002,1002,0.045803151515152574,0,0.03081497761497709,18,"[211, 82, 302, 152, 235]"
3,5,1003,1003,0.04637365656565906,0,0.039309164639094285,7,"[211, 82, 302, 152, 235]"
4,5,1004,1004,0.04569195959596151,0,0.03151339031339018,22,"[211, 82, 302, 152, 235]"
5,5,1005,1005,0.052419162640903294,0,0.038177615571777235,11,"[211, 82, 302, 152, 235]"
6,5,1006,1006,0.0519653784219013,0,0.04572816161616322,6,"[211, 82, 302, 152, 235]"
7,5,1007,1007,0.04599062626262862,0,0.024993300653595618,29,"[211, 82, 302, 152, 235]"
8,5,1008,1008,0.05172512077294855,0,0.030412210012209284,22,"[211, 82, 302, 152, 235]"
9,5,1009,1009,0.04690860606060765,0,0.02498970588235394,30,"[211, 82, 302, 152, 235]"
10,5,1010,1010,0.04643991919192103,0,0.0244387254901961,34,"[211, 82, 302, 152, 235]"
